转账ID,转账reason行为,转账金额,出账用户ID,出账身份类型ID,出账钱包类型ID,出账钱包ID,出账后余额,进账用户ID,进账身份类型ID,进账钱包类型ID,进账钱包ID,进账后余额,父关联转账ID,状态：1有效，2已冲正,detail,备注,创建时间
57,4030110201,100,1,3,1,30,396,0,2,1,24,99999999999999792,0,1,1000143434333516,,"2018-10-11 15:53:33",,,
56,3020110301,100,0,2,1,24,99999999999999692,1,3,1,30,496,0,1,1000143434333516,,"2018-10-11 15:53:31",,,
55,2010110201,100,0,1,1,21,99999999999999800,0,2,1,24,99999999999999792,0,1,1000143434333516,,"2018-10-11 15:53:29",,,
54,4030110201,100,1,3,1,30,396,0,2,1,24,99999999999999692,0,1,1000143434399616,,"2018-10-11 15:50:33",,,
53,3020110301,100,0,2,1,24,99999999999999592,1,3,1,30,496,0,1,1000143434399616,,"2018-10-11 15:50:31",,,
52,2010110201,100,0,1,1,21,99999999999999900,0,2,1,24,99999999999999692,0,1,1000143434399616,,"2018-10-11 15:50:29",,,
51,1030110201,1,1,3,1,30,395,0,2,1,24,99999999999999593,0,2,sandbox56472124862,其他的,"2018-09-14 12:53:08",,,
50,1030110201,1,1,3,1,30,396,0,2,1,24,99999999999999592,0,1,sandbox48118952987,,"2018-09-13 22:10:37",,,
49,1030110201,1,1,3,1,30,397,0,2,1,24,99999999999999591,0,1,sandbox95339475573,,"2018-09-13 22:10:28",,,
48,1020110301,1,1,3,1,30,398,2,3,1,31,12,0,1,沙盒测试,,"2018-09-13 22:10:22",,,
47,1020110301,1,1,3,1,30,399,2,3,1,31,11,0,1,沙盒测试,,"2018-09-13 18:52:39",,,
46,1020110301,1,1,3,1,30,400,2,3,1,31,10,0,1,,,"2018-09-13 14:44:43",,,
45,1020110301,200,2,3,1,31,9,1,3,1,30,401,0,1,,,"2018-09-13 14:39:54",,,
44,1020110301,100,2,3,1,31,209,1,3,1,30,201,0,1,,,"2018-09-13 14:39:28",,,
43,1020110301,100,2,3,1,31,309,1,3,1,30,101,0,1,,,"2018-09-13 14:39:27",,,
41,1020110301,400,1,3,1,30,1,2,3,1,31,409,40,1,,,"2018-09-13 14:36:33",,,
40,1020110301,1,1,3,1,30,401,2,3,1,31,9,0,1,,,"2018-09-13 14:36:32",,,
39,1020110301,1,1,3,1,30,402,2,3,1,31,8,38,1,,,"2018-09-13 14:35:43",,,
38,1020110301,1,1,3,1,30,403,2,3,1,31,7,0,1,,,"2018-09-13 14:35:41",,,
37,1020110301,1,1,3,1,30,404,2,3,1,31,6,36,1,,,"2018-09-13 14:35:41",,,
36,1020110301,1,1,3,1,30,405,2,3,1,31,5,0,1,,,"2018-09-13 14:35:40",,,
35,1020110301,1,1,3,1,30,406,2,3,1,31,4,34,1,,,"2018-09-13 14:35:33",,,
34,1020110301,1,1,3,1,30,407,2,3,1,31,3,0,1,,,"2018-09-13 14:35:32",,,
33,1020110301,1,1,3,1,30,408,2,3,1,31,2,32,1,,,"2018-09-13 14:35:01",,,
32,1020110301,1,1,3,1,30,409,2,3,1,31,1,0,1,,,"2018-09-13 14:35:00",,,
31,1020110301,1,0,2,1,24,99999999999999590,1,3,1,30,410,30,1,,,"2018-09-13 14:33:15",,,
30,1020110301,1,0,2,1,24,99999999999999591,1,3,1,30,409,0,1,,,"2018-09-13 14:33:13",,,
29,1020110301,1,0,2,1,24,99999999999999592,1,3,1,30,408,28,1,,,"2018-09-13 14:33:13",,,
28,1020110301,1,0,2,1,24,99999999999999593,1,3,1,30,407,0,1,,,"2018-09-13 14:33:11",,,
27,1020110301,100,0,2,1,24,99999999999999594,1,3,1,30,406,0,1,,,"2018-09-13 14:31:57",,,
26,1020110301,100,0,2,1,24,99999999999999694,1,3,1,30,306,0,1,,,"2018-09-13 14:31:57",,,
25,1020110301,100,0,2,1,24,99999999999999894,1,3,1,30,106,0,1,,,"2018-09-13 14:29:50",,,
24,1020110301,100,0,2,1,24,99999999999999894,1,3,1,30,106,0,1,,,"2018-09-13 14:29:50",,,
23,1020110301,1,0,2,1,24,99999999999999994,1,3,1,30,6,22,1,,,"2018-09-13 14:27:38",,,
22,1020110301,1,0,2,1,24,99999999999999995,1,3,1,30,5,0,1,,,"2018-09-13 14:27:37",,,
21,1020110301,1,0,2,1,24,99999999999999996,1,3,1,30,4,20,1,,,"2018-09-13 14:27:36",,,
20,1020110301,1,0,2,1,24,99999999999999997,1,3,1,30,3,0,1,,,"2018-09-13 14:27:35",,,
19,1020110301,1,0,2,1,24,99999999999999998,1,3,1,30,2,18,1,,,"2018-09-13 14:27:06",,,
18,1020110301,1,0,2,1,24,99999999999999999,1,3,1,30,1,0,1,,,"2018-09-13 14:27:05",,,
